image_path,beam_id,excel_beam_id,id_match_mode,beam_width,beam_depth,wa_content,target_load_capacity_kn,target_max_deflection_mm
data_pipeline/raw/Beam Image-12/CS-0-100/Beam (100).jpeg,CS-0-100,CS-0-100,exact,100,100,0,80.22,3.9
data_pipeline/raw/Beam Image-12/CS-0-100/Beam (101).jpeg,CS-0-100,CS-0-100,exact,100,100,0,80.22,3.9
data_pipeline/raw/Beam Image-12/CS-0-100/Beam (102).jpeg,CS-0-100,CS-0-100,exact,100,100,0,80.22,3.9
data_pipeline/raw/Beam Image-12/CS-0-100/Beam (103).jpeg,CS-0-100,CS-0-100,exact,100,100,0,80.22,3.9
data_pipeline/raw/Beam Image-12/CS-0-100/Beam (104).jpeg,CS-0-100,CS-0-100,exact,100,100,0,80.22,3.9
data_pipeline/raw/Beam Image-12/CS-0-100/Beam (105).jpeg,CS-0-100,CS-0-100,exact,100,100,0,80.22,3.9
data_pipeline/raw/Beam Image-12/CS-0-100/Beam (117).jpeg,CS-0-100,CS-0-100,exact,100,100,0,80.22,3.9
data_pipeline/raw/Beam Image-12/CS-0-100/Beam (123).jpeg,CS-0-100,CS-0-100,exact,100,100,0,80.22,3.9
data_pipeline/raw/Beam Image-12/CS-0-100/Beam (13).jpeg,CS-0-100,CS-0-100,exact,100,100,0,80.22,3.9
data_pipeline/raw/Beam Image-12/CS-0-100/Beam (14).jpeg,CS-0-100,CS-0-100,exact,100,100,0,80.22,3.9
data_pipeline/raw/Beam Image-12/CS-0-100/Beam (15).jpeg,CS-0-100,CS-0-100,exact,100,100,0,80.22,3.9
data_pipeline/raw/Beam Image-12/CS-0-100/Beam (16).jpeg,CS-0-100,CS-0-100,exact,100,100,0,80.22,3.9
data_pipeline/raw/Beam Image-12/CS-0-100/Beam (21).jpeg,CS-0-100,CS-0-100,exact,100,100,0,80.22,3.9
data_pipeline/raw/Beam Image-12/CS-0-100/Beam (3).jpeg,CS-0-100,CS-0-100,exact,100,100,0,80.22,3.9
data_pipeline/raw/Beam Image-12/CS-0-100/Beam (7).jpeg,CS-0-100,CS-0-100,exact,100,100,0,80.22,3.9
data_pipeline/raw/Beam Image-12/CS-0-100/Beam (8).jpeg,CS-0-100,CS-0-100,exact,100,100,0,80.22,3.9
data_pipeline/raw/Beam Image-12/CS-0-100/Beam (9).jpeg,CS-0-100,CS-0-100,exact,100,100,0,80.22,3.9
data_pipeline/raw/Beam Image-12/CS-0-200/Beam (140).jpeg,CS-0-200,CS-0-200,exact,100,200,0,125.78,6.4
data_pipeline/raw/Beam Image-12/CS-0-200/Beam (141).jpeg,CS-0-200,CS-0-200,exact,100,200,0,125.78,6.4
data_pipeline/raw/Beam Image-12/CS-0-200/Beam (142).jpeg,CS-0-200,CS-0-200,exact,100,200,0,125.78,6.4
data_pipeline/raw/Beam Image-12/CS-0-200/Beam (148).jpeg,CS-0-200,CS-0-200,exact,100,200,0,125.78,6.4
data_pipeline/raw/Beam Image-12/CS-0-200/Beam (154).jpeg,CS-0-200,CS-0-200,exact,100,200,0,125.78,6.4
data_pipeline/raw/Beam Image-12/CS-0-200/Beam (19).jpeg,CS-0-200,CS-0-200,exact,100,200,0,125.78,6.4
data_pipeline/raw/Beam Image-12/CS-0-200/Beam (72).jpeg,CS-0-200,CS-0-200,exact,100,200,0,125.78,6.4
data_pipeline/raw/Beam Image-12/CS-0-200/Beam (73).jpeg,CS-0-200,CS-0-200,exact,100,200,0,125.78,6.4
data_pipeline/raw/Beam Image-12/CS-0-200/Beam (74).jpeg,CS-0-200,CS-0-200,exact,100,200,0,125.78,6.4
data_pipeline/raw/Beam Image-12/CS-0-200/Beam (76).jpeg,CS-0-200,CS-0-200,exact,100,200,0,125.78,6.4
data_pipeline/raw/Beam Image-12/CS-0-200/Beam (78).jpeg,CS-0-200,CS-0-200,exact,100,200,0,125.78,6.4
